Treatment,Group,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Coverage,PD
Control,Wild,194,194,0,194,6.466806602,4.137283771,0.967355279,30.63282447,32.00843391,1,20.13057898
Control,2M,190,190,0,190,5.719771803,3.956261625,0.9563566,22.91297184,29.79084583,1,25.19912145
Control,PC,233,233,0,233,6.779798318,4.383247899,0.975959043,41.59568111,37.63094612,1,32.6697973
Control,Rec,249,249,0,249,6.588294354,4.560515325,0.978185854,45.84181196,40.58972644,1,21.24993578
Control,Wild,111,111,0,111,4.966554809,3.157367175,0.907741755,10.83913964,16.1123241,1,29.21932924
Control,2M,128,128,0,128,5.244044241,3.106940252,0.895700608,9.587783606,18.73513303,1,32.88422413
Control,PC,277,277,0,277,6.728354786,4.725301463,0.980518362,51.33038712,45.70964004,1,23.05855218
Control,Rec,337,337,0,337,8.64739545,4.605766698,0.976765776,43.03995769,55.84636187,1,48.66241808
Control,Wild,232,232,0,232,6.962646643,4.273187291,0.969034425,32.29392596,38.68036751,1,28.89957568
Control,2M,276,276,0,276,7.327484492,4.596625216,0.978726416,47.00665337,46.07562609,1,23.07440986
Control,PC,197,197,0,197,6.025327255,3.838747133,0.944004981,17.85873145,29.99996895,1,20.93938319
Control,Rec,202,202,0,202,6.362015995,4.022712171,0.961984508,26.30506516,31.80019102,1,34.55061651
Control,Wild,195,195,0,195,6.530402273,3.723119652,0.944543586,18.03217914,31.63710734,1,27.50794909
Control,2M,232,232,0,232,6.557109855,4.460219738,0.975347673,40.56412163,38.8004226,1,20.94201532
Control,PC,260,260,0,260,7.245953778,4.383380717,0.971897325,35.58380083,42.29485071,1,22.42178334
Control,Rec,195,195,0,195,6.414726646,3.792074763,0.946712093,18.76598371,29.67141788,1,25.07973057
Control,Wild,196,196,0,196,5.841442372,4.272258811,0.973478541,37.70531674,31.76684967,1,18.0316907
Control,2M,252,252,0,252,7.460743824,4.271063959,0.972068486,35.80185416,41.43355374,1,26.37420362
Control,PC,235,235,0,235,6.684373648,4.33619243,0.971847416,35.52071843,38.88373292,1,21.53432688
Control,Rec,270,270,0,270,7.200822998,4.583338956,0.980816603,52.12841216,43.93688319,1,35.24120833
Treatment,Wild,210,210,0,210,6.479270976,4.208043361,0.97117849,34.6963083,32.95483201,1,32.96273278
Treatment,2M,213,213,0,213,6.691035275,4.004644205,0.959767912,24.85578177,33.41930392,1,27.32659074
Treatment,PC,248,248,0,248,6.410676578,4.516920062,0.97668494,42.89073314,39.99531689,1,20.70309351
Treatment,Rec,147,147,0,147,5.058837488,3.833043481,0.957645804,23.61041136,22.50985657,1,13.28398293
Treatment,Wild,196,196,0,196,6.616306387,3.970417319,0.958649034,24.18323188,32.39504407,1,22.44667788
Treatment,2M,185,185,0,185,6.149489102,4.030998691,0.967195196,30.48333979,29.05464218,1,22.44298466
Treatment,PC,156,156,0,156,4.506405697,3.966315017,0.965043608,28.60707106,23.97046196,1,10.72900774
Treatment,Rec,160,160,0,160,6.240492769,3.357624315,0.934476471,15.26169322,23.5442882,1,51.88290854
Treatment,Wild,220,220,0,220,6.797058187,4.336578331,0.972840098,36.8189841,36.77826532,1,34.43796407
Treatment,2M,214,214,0,214,6.190133844,4.110704291,0.953920666,21.70170276,34.47852765,1,20.52429731
Treatment,PC,218,218,0,218,5.875231793,4.361549844,0.974241292,38.82182353,34.77113303,1,23.94333229
Treatment,Rec,119,119,0,119,5.153117682,3.84416185,0.961307475,25.84478523,21.51144247,1,11.94022552
Treatment,Wild,52,52,0,52,3.472418798,2.334527816,0.840047823,6.251868626,6.974783474,1,22.49682047
Treatment,2M,273,273,0,273,7.280864579,4.725161764,0.98430135,63.69974499,46.36089234,1,24.75243185
Treatment,PC,190,190,0,190,6.030187219,4.234979207,0.973853478,38.24600398,31.31254418,1,18.58178876
Treatment,Rec,122,122,0,122,5.303880423,3.366257392,0.934375554,15.23822383,17.40669958,1,33.34377231
Treatment,Wild,154,154,0,154,5.747952769,3.789127217,0.955122711,22.28298618,24.26794339,1,14.1212427
Treatment,2M,189,189,0,189,6.139472428,4.063129862,0.963926367,27.7210781,29.62927456,1,19.29876485
Treatment,PC,241,241,0,241,6.785999744,4.547728483,0.980794784,52.06918895,40.36345322,1,21.89239922
Treatment,Rec,177,177,0,177,5.914647145,3.917667173,0.956412149,22.94217281,27.57025963,1,20.43826181
Treatment,Wild,171,171,0,171,5.628872936,4.00450311,0.964605337,28.25284696,27.63834105,1,16.61821507
Treatment,2M,205,205,0,205,6.414921629,4.023635916,0.958012859,23.81681579,31.94683879,1,21.44082462
Treatment,PC,279,279,0,279,7.687908861,4.768405554,0.985180192,67.47725606,48.34361514,1,22.67046697
Treatment,Rec,238,238,0,238,6.661377454,4.479173091,0.980068685,50.1723032,37.56318186,1,27.54650734
Probiotics,-,10,10,0,10,0.948683298,1.573329541,0.70067894,3.340894228,1.416572226,1,4.202276887
Probiotics,-,11,11,0,11,1.477097892,1.4959183,0.665714792,2.991457518,1.636048425,1,5.837480311
Probiotics,-,11,11,0,11,1.279204298,1.634455825,0.69959366,3.32882455,1.600174484,1,4.294841417
